0.0	Book Cover
（書 6:27）	耶和華與約書亞同在，約書亞的聲名傳揚遍地。
（士 6:12）	耶和華的使者向基甸顯現，對他說：「大能的勇士啊，耶和華與你同在！」
（撒上 3:19）	撒母耳長大了，耶和華與他同在，使他所說的話一句都不落空。
（撒上 18:12）	掃羅懼怕大衛；因為耶和華離開自己，與大衛同在。
（撒下 7:3）	拿單對王說：「你可以照你的心意而行，因為耶和華與你同在。」
（王下 18:7）	耶和華與他同在，他無論往何處去盡都亨通。他背叛、不肯事奉亞述王。
（代上 11:9）	大衛日見強盛，因為萬軍之耶和華與他同在。
（王上 8:57-58）	願耶和華－我們的上帝與我們同在，像與我們列祖同在一樣，不撇下我們，不丟棄我們，使我們的心歸向他，遵行他的道，謹守他吩咐我們列祖的誡命、律例、典章。
（代上 22:11）	我兒啊，現今願耶和華與你同在，使你亨通，照他指着你說的話，建造耶和華－你上帝的殿。
（代上 28:20）	大衛又對他兒子所羅門說：「你當剛強壯膽去行！不要懼怕，也不要驚惶。因為耶和華上帝就是我的上帝，與你同在；他必不撇下你，也不丟棄你，直到耶和華殿的工作都完畢了。
（該 2:4）	耶和華說：「所羅巴伯啊，雖然如此，你當剛強！約撒答的兒子大祭司約書亞啊，你也當剛強！這地的百姓，你們都當剛強做工，因為我與你們同在。這是萬軍之耶和華說的。
（徒 7:9-10）	「先祖嫉妒約瑟，把他賣到埃及去；上帝卻與他同在，救他脫離一切苦難，又使他在埃及王法老面前得恩典，有智慧。法老就派他作埃及國的宰相兼管全家。
（徒 10:38）	上帝怎樣以聖靈和能力膏拿撒勒人耶穌，這都是你們知道的。他周流四方，行善事，醫好凡被魔鬼壓制的人，因為上帝與他同在。
4.12.{3}.2	Promises that God Will Be “With Us”
（創 28:15）	我也與你同在。你無論往哪裏去，我必保佑你，領你歸回這地，總不離棄你，直到我成全了向你所應許的。」
（出 4:12）	現在去吧，我必賜你口才，指教你所當說的話。」
（書 1:9）	我豈沒有吩咐你嗎？你當剛強壯膽！不要懼怕，也不要驚惶；因為你無論往哪裏去，耶和華－你的上帝必與你同在。」
（代下 15:2）	他出來迎接亞撒，對他說：「亞撒和猶大、便雅憫眾人哪，要聽我說：你們若順從耶和華，耶和華必與你們同在；你們若尋求他，就必尋見；你們若離棄他，他必離棄你們。
（詩 14:5）	他們在那裏大大地害怕， 因為上帝在義人的族類中。
（詩 46:7）	萬軍之耶和華與我們同在； 雅各的上帝是我們的避難所！（細拉）
（詩 91:1-2）	住在至高者隱密處的， 必住在全能者的蔭下。我要論到耶和華說： 他是我的避難所，是我的山寨， 是我的上帝，是我所倚靠的。
（詩 139:8-10）	我若升到天上，你在那裏； 我若在陰間下榻，你也在那裏。我若展開清晨的翅膀， 〔飛〕到海極居住，就是在那裏，你的手必引導我； 你的右手也必扶持我。
（賽 41:10）	你不要害怕，因為我與你同在； 不要驚惶，因為我是你的上帝。 我必堅固你，我必幫助你； 我必用我公義的右手扶持你。
（賽 43:2）	你從水中經過，我必與你同在； 你詵過江河，水必不漫過你； 你從火中行過，必不被燒， 火焰也不着在你身上。
（賽 43:4-7）	因我看你為寶為尊； 又因我愛你， 所以我使人代替你， 使列邦人替換你的生命。不要害怕，因我與你同在； 我必領你的後裔從東方來， 又從西方招聚你。我要對北方說，交出來！ 對南方說，不要拘留！ 將我的眾子從遠方帶來， 將我的眾女從地極領回，就是凡稱為我名下的人， 是我為自己的榮耀創造的， 是我所做成，所造作的。
（耶 1:8）	你不要懼怕他們， 因為我與你同在， 要拯救你。 這是耶和華說的。
（耶 1:19）	他們要攻擊你，卻不能勝你；因為我與你同在，要拯救你。這是耶和華說的。」
（耶 42:11-12）	不要怕你們所怕的巴比倫王。』」耶和華說：「不要怕他！因為我與你們同在，要拯救你們脫離他的手。我也要使他發憐憫，好憐憫你們，叫你們歸回本地。
（太 28:19-20）	所以，你們要去，使萬民作我的門徒，奉父、子、聖靈的名給他們施洗〔註：或譯：給他們施洗，歸於父、子、聖靈的名〕。凡我所吩咐你們的，都教訓他們遵守，我就常與你們同在，直到世界的末了。」
（徒 18:9-10）	夜間，主在異象中對保羅說：「不要怕，只管講，不要閉口，有我與你同在，必沒有人下手害你，因為在這城裏我有許多的百姓。」
（腓 4:9）	你們在我身上所學習的，所領受的，所聽見的，所看見的，這些事你們都要去行，賜平安的上帝就必與你們同在。
4.12.{4}	Prayers Seeking Success and God’s Presence
（出 33:16）	人在何事上得以知道我和你的百姓在你眼前蒙恩呢？豈不是因你與我們同去、使我和你的百姓與地上的萬民有分別嗎？」
（詩 118:25）	耶和華啊，求你拯救！ 耶和華啊，求你使我們亨通！
（出 33:15）	摩西說：「你若不親自〔和我同〕去，就不要把我們從這裏領上去。
（王上 8:57）	願耶和華－我們的上帝與我們同在，像與我們列祖同在一樣，不撇下我們，不丟棄我們，
（帖後 1:11-12）	因此，我們常為你們禱告，願我們的上帝看你們配得過所蒙的召，又用大能成就你們一切所羨慕的良善和一切因信心所做的工夫，叫我們主耶穌的名在你們身上得榮耀，你們也在他身上得榮耀，都照着我們的上帝並主耶穌基督的恩。
（詩 61:4）	我要永遠住在你的帳幕裏！ 我要投靠在你翅膀下的隱密處！（細拉）
（詩 71:3）	求你作我常住的磐石； 你已經命定要救我， 因為你是我的巖石，我的山寨。
（撒下 14:17）	婢女又想，我主我王的話必安慰我；因為我主我王能辨別是非，如同上帝的使者一樣。惟願耶和華－你的上帝與你同在！」
（代上 4:10）	雅比斯求告以色列的上帝說：「甚願你賜福與我，擴張我的境界，常與我同在，保佑我不遭患難，不受艱苦。」上帝就應允他所求的。
（羅 15:33）	願賜平安的上帝常和你們眾人同在。阿們！
（林後 13:14）	願主耶穌基督的恩惠、上帝的慈愛、聖靈的感動〔常〕與你們眾人同在！
（約二 1:3）	恩惠、憐憫、平安從父上帝和他兒子耶穌基督在真理和愛心上必常與我們同在！
4.12.{5}	Faith Affirmations
（賽 8:10）	任憑你們同謀，終歸無有； 任憑你們言定，終不成立； 因為上帝與我們同在。
（詩 139:18）	我若數點，比海沙更多； 我睡醒的時候，仍和你同在。
（代下 13:12）	率領我們的是上帝，我們這裏也有上帝的祭司拿號向你們吹出大聲。以色列人哪，不要與耶和華－你們列祖的上帝爭戰，因你們必不能亨通。」
（詩 73:23-26）	然而，我常與你同在； 你攙着我的右手。你要以你的訓言引導我， 以後必接我到榮耀裏。除你以外，在天上我有誰呢？ 除你以外，在地上我也沒有所愛慕的。我的肉體和我的心腸衰殘； 但上帝是我心裏的力量， 又是我的福分，直到永遠。
（詩 23:4）	我雖然行過死蔭的〔幽〕谷， 也不怕遭害， 因為你與我同在； 你的杖，你的竿，都安慰我。
（詩 14:5）	他們在那裏大大地害怕， 因為上帝在義人的族類中。
（啟 21:3）	我聽見有大聲音從寶座出來說：「看哪，上帝的帳幕在人間。他要與人同住，他們要作他的子民。上帝要親自與他們同在，作他們的上帝。
4.13.{3}	Promises that God Will Draw Near
（出 29:46）	他們必知道我是耶和華－他們的上帝，是將他們從埃及地領出來的，為要住在他們中間。我是耶和華－他們的上帝。」
（出 33:14）	耶和華說：「我必親自〔和你同〕去，使你得安息。」
（申 4:7）	哪一大國的人有神與他們相近，像耶和華－我們的上帝、在我們求告他的時候與我們相近呢？
（王上 6:13）	我必住在以色列人中間，並不丟棄我民以色列。」
（詩 91:1）	住在至高者隱密處的， 必住在全能者的蔭下。
（賽 57:15）	因為那至高至上、永遠長存〔註：原文是住在永遠〕 名為聖者的如此說： 我住在至高至聖的所在， 也與心靈痛悔謙卑的人同居； 要使謙卑人的靈甦醒， 也使痛悔人的心甦醒。
（耶 30:21）	他們的君王必是屬乎他們的； 掌權的必從他們中間而出。 我要使他就近我， 他也要親近我； 不然，誰有膽量親近我呢？ 這是耶和華說的。
（雅 4:8）	你們親近上帝，上帝就必親近你們。有罪的人哪，要潔淨你們的手！心懷二意的人哪，要清潔你們的心！
4.13.{4}	Prayers Seeking God’s Nearness
（詩 22:1-2）	我的上帝，我的上帝！為甚麼離棄我？ 〔為甚麼〕遠離不救我？不聽我唉哼的言語？我的上帝啊，我白日呼求，你不應允， 夜間呼求，並不住聲。
（詩 22:11）	求你不要遠離我！ 因為急難臨近了，沒有人幫助我。
（詩 38:21）	耶和華啊，求你不要撇棄我！ 我的上帝啊，求你不要遠離我！
（耶 14:9）	你為何像受驚的人， 像不能救人的勇士呢？ 耶和華啊，你仍在我們中間； 我們也稱為你名下的人， 求你不要離開我們。
（詩 88:13-14）	耶和華啊，我呼求你； 我早晨的禱告要達到你面前。耶和華啊，你為何丟棄我？ 為何掩面不顧我？
4.13.{5}	Faith Affirmations
（詩 73:28）	但我親近上帝是與我有益； 我以主耶和華為我的避難所， 好叫我述說你一切的作為。
（詩 65:4）	你所揀選、使他親近你、住在你院中的， 這人便為有福！ 我們必因你居所、你聖殿的美福知足了。
（詩 84:10）	在你的院宇住一日， 勝似〔在別處住〕千日； 寧可在我上帝殿中看門， 不願住在惡人的帳棚裏。
（詩 119:151）	耶和華啊，你與我相近； 你一切的命令盡都真實！
（詩 75:1）	上帝啊，我們稱謝你，我們稱謝你！ 因為你的名相近，人都述說你奇妙的作為。
（詩 73:23-24）	然而，我常與你同在； 你攙着我的右手。你要以你的訓言引導我， 以後必接我到榮耀裏。
4.14.{3}	Promises that God Will Manifest His Favor
（出 20:24）	你要為我築土壇，在上面以牛羊獻為燔祭和平安祭。凡記下我名的地方，我必到那裏賜福給你。
（伯 8:7）	你起初雖然微小， 終久必甚發達。
（伯 23:10）	然而他知道我所行的路； 他試煉我之後，我必如精金。
（伯 36:7）	他時常看顧義人， 使他們和君王同坐寶座， 永遠要被高舉。
（詩 1:3）	他要像一棵樹栽在溪水旁， 按時候結果子， 葉子也不枯乾。 凡他所做的盡都順利。
（詩 36:7-9）	上帝啊，你的慈愛何其寶貴！ 世人投靠在你翅膀的蔭下。他們必因你殿裏的肥甘得以飽足； 你也必叫他們喝你樂河的〔水〕。因為，在你那裏有生命的源頭； 在你的光中，我們必得見光。
（詩 37:34）	你當等候耶和華，遵守他的道， 他就抬舉你，使你承受地土； 惡人被剪除的時候，你必看見。
（詩 71:21）	求你使我越發昌大， 又轉來安慰我。
（詩 102:13）	你必起來憐恤錫安， 因現在是可憐她的時候， 日期已經到了。
（箴 4:18）	但義人的路好像黎明的光， 越照越明，直到日午。
（賽 51:16）	我將我的話傳給你， 用我的手影遮蔽你， 為要栽定諸天，立定地基， 又對錫安說：你是我的百姓。
（賽 60:10）	外邦人必建築你的城牆； 他們的王必服事你。 我曾發怒擊打你， 現今卻施恩憐恤你。
（賽 65:16）	這樣，在地上為自己求福的， 必憑真實的上帝求福； 在地上起誓的， 必指真實的上帝起誓。 因為，從前的患難已經忘記， 也從我眼前隱藏了。
（賽 66:2）	耶和華說：這一切都是我手所造的， 所以就都有了。 但我所看顧的， 就是虛心〔註：原文是貧窮〕痛悔、 因我話而戰兢的人。
（約 15:4-5）	你們要常在我裏面，我也常在你們裏面。枝子若不常在葡萄樹上，自己就不能結果子；你們若不常在我裏面，也是這樣。我是葡萄樹，你們是枝子。常在我裏面的，我也常在他裏面，這人就多結果子；因為離了我，你們就不能做甚麼。
（西 1:27）	上帝願意叫他們知道，這奧祕在外邦人中有何等豐盛的榮耀，就是基督在你們心裏成了〔有〕榮耀的盼望。
4.14.{4}	Prayers Seeking God’s Favor
（詩 51:18）	求你隨你的美意善待錫安， 建造耶路撒冷的城牆。
（代上 4:10）	雅比斯求告以色列的上帝說：「甚願你賜福與我，擴張我的境界，常與我同在，保佑我不遭患難，不受艱苦。」上帝就應允他所求的。
（詩 125:4）	耶和華啊，求你善待那些為善 和心裏正直的人。
（詩 86:17）	求你向我顯出恩待我的憑據， 叫恨我的人看見便羞愧， 因為你－耶和華幫助我，安慰我。
（出 33:13）	我如今若在你眼前蒙恩，求你將你的道指示我，使我可以認識你，好在你眼前蒙恩。求你想到這民是你的民。」
（詩 90:17）	願主－我們上帝的榮美歸於我們身上。 願你堅立我們手所做的工； 我們手所做的工，願你堅立。
4.14.{5}	Faith Affirmations
（徒 26:22）	然而我蒙上帝的幫助，直到今日還站得住，對着尊貴、卑賤、老幼作見證；所講的並不外乎眾先知和摩西所說將來必成的事，
（撒下 22:37）	你使我腳下的地步寬闊； 我的腳未曾滑跌。
（撒下 23:5）	我家在上帝面前並非如此； 上帝卻與我立永遠的約。 這約凡事堅穩， 關乎我的一切救恩和我一切所想望的， 他豈不為我成就嗎？
（伯 29:5-6）	全能者仍與我同在； 我的兒女都環繞我。奶多可洗我的腳； 磐石為我出油成河。
（詩 16:6）	用繩量給我的地界，坐落在佳美之處； 我的產業實在美好。
（詩 5:12）	因為你必賜福與義人； 耶和華啊，你必用恩惠如同盾牌四面護衛他。
（詩 89:17）	你是他們力量的榮耀； 因為你喜悅我們，我們的角必被高舉。
4.15.{3}	Promises to Believers Struggling with Sin
（利 26:13）	我是耶和華－你們的上帝，曾將你們從埃及地領出來，使你們不作埃及人的奴僕；我也折斷你們所負的軛，叫你們挺身而走。」
（代下 30:9）	你們若轉向耶和華，你們的弟兄和兒女必在擄掠他們的人面前蒙憐恤，得以歸回這地，因為耶和華－你們的上帝有恩典、施憐憫。你們若轉向他，他必不轉臉不顧你們。」
（詩 18:16-18）	他從高天伸手抓住我， 把我從大水中拉上來。他救我脫離我的勁敵和那些恨我的人， 因為他們比我強盛。我遭遇災難的日子，他們來攻擊我； 但耶和華是我的倚靠。
（詩 31:21）	耶和華是應當稱頌的， 因為他在堅固城裏向我施展奇妙的慈愛。
（詩 69:33）	因為耶和華聽了窮乏人， 不藐視被囚的人。
（賽 57:17-19）	因他貪婪的罪孽，我就發怒擊打他； 我向他掩面發怒， 他卻仍然隨心背道。我看見他所行的道，也要醫治他； 又要引導他， 使他和那一同傷心的人再得安慰。我造就嘴唇的果子； 願平安康泰歸與遠處的人， 也歸與近處的人； 並且我要醫治他。 這是耶和華說的。
（耶 3:12）	你去向北方宣告說： 耶和華說：背道的以色列啊，回來吧！ 我必不怒目看你們； 因為我是慈愛的， 我必不永遠存〔怒〕。 這是耶和華說的。
（耶 3:22）	你們這背道的兒女啊，回來吧！ 我要醫治你們背道的病。 看哪，我們來到你這裏， 因你是耶和華－我們的上帝。
（耶 31:9）	他們要哭泣而來。 我要照他們懇求的引導他們， 使他們在河水旁走正直的路， 在其上不致絆跌； 因為我是以色列的父， 以法蓮是我的長子。
（結 16:59-60）	「主耶和華如此說：你這輕看誓言、背棄盟約的，我必照你所行的待你。然而我要追念在你幼年時與你所立的約，也要與你立定永約。
（結 37:23）	也不再因偶像和可憎的物，並一切的罪過玷污自己。我卻要救他們出離一切的住處，就是他們犯罪的地方；我要潔淨他們，如此，他們要作我的子民，我要作他們的上帝。
（何 14:4）	我必醫治他們背道的病， 甘心愛他們； 因為我的怒氣向他們轉消。
（亞 10:6-7）	我要堅固猶大家，拯救約瑟家， 要領他們歸回。 我要憐恤他們； 他們必像未曾棄絕的一樣， 都因我是耶和華－他們的上帝， 我必應允他們〔的禱告〕。以法蓮人必如勇士； 他們心中暢快如同喝酒； 他們的兒女必看見而快活； 他們的心必因耶和華喜樂。
（結 22:15）	我必將你分散在列國，四散在列邦。我也必從你中間除掉你的污穢。
（結 36:25-27）	我必用清水灑在你們身上，你們就潔淨了。我要潔淨你們，使你們脫離一切的污穢，棄掉一切的偶像。我也要賜給你們一個新心，將新靈放在你們裏面，又從你們的肉體中除掉石心，賜給你們肉心。我必將我的靈放在你們裏面，使你們順從我的律例，謹守遵行我的典章。
（雅 5:19-20）	我的弟兄們，你們中間若有失迷真道的，有人使他回轉，這人該知道：叫一個罪人從迷路上轉回便是救一個靈魂不死，並且遮蓋許多的罪。
4.15.{4}	Prayers for Sanctifying Grace
（詩 86:11）	耶和華啊，求你將你的道指教我； 我要照你的真理行； 求你使我專心敬畏你的名！
（詩 119:132-133）	求你轉向我，憐憫我， 好像你素常待那些愛你名的人。求你用你的話使我腳步穩當， 不許甚麼罪孽轄制我。
（詩 143:10）	求你指教我遵行你的旨意， 因你是我的上帝。 你的靈本為善； 求你引我到平坦之地。
（詩 51:10）	上帝啊，求你為我造清潔的心， 使我裏面重新有正直〔註：或譯：堅定〕的靈。
（太 8:2）	有一個長大痲瘋的來拜他，說：「主若肯，必能叫我潔淨了。」
（詩 141:3-4）	耶和華啊，求你禁止我的口， 把守我的嘴！求你不叫我的心偏向邪惡， 以致我和作孽的人同行惡事； 也不叫我吃他們的美食。
（詩 69:6）	萬軍的主－耶和華啊， 求你叫那等候你的，不要因我蒙羞！ 以色列的上帝啊， 求你叫那尋求你的，不要因我受辱！
（詩 119:17）	求你用厚恩待你的僕人，使我存活， 我就遵守你的話。
（詩 119:25）	我的性命幾乎歸於塵土； 求你照你的話將我救活！
（詩 119:33-34）	耶和華啊，求你將你的律例指教我， 我必遵守到底！求你賜我悟性，我便遵守你的律法， 且要一心遵守。
（詩 119:77）	願你的慈悲臨到我，使我存活， 因你的律法是我所喜愛的。
（約 17:11）	從今以後，我不在世上，他們卻在世上；我往你那裏去。聖父啊，求你因你所賜給我的名保守他們，叫他們合而為一像我們一樣。
（約 17:13）	現在我往你那裏去，我還在世上說這話，是叫他們心裏充滿我的喜樂。
（約 17:17）	求你用真理使他們成聖；你的道就是真理。
（約 17:20-21）	「我不但為這些人祈求，也為那些因他們的話信我的人祈求，使他們都合而為一。正如你父在我裏面，我在你裏面，使他們也在我們裏面，叫世人可以信你差了我來。
（約 17:23）	我在他們裏面，你在我裏面，使他們完完全全地合而為一，叫世人知道你差了我來，也知道你愛他們如同愛我一樣。
（腓 1:9-11）	我所禱告的，就是要你們的愛心在知識和各樣見識上多而又多，使你們能分別是非〔註：或譯：喜愛那美好的事〕，作誠實無過的人，直到基督的日子；並靠着耶穌基督結滿了仁義的果子，叫榮耀稱讚歸與上帝。
（帖前 3:11-13）	願上帝－我們的父和我們的主耶穌一直引領我們到你們那裏去。又願主叫你們彼此相愛的心，並愛眾人的心都能增長，充足，如同我們愛你們一樣，好使你們當我們主耶穌同他眾聖徒來的時候，在我們父上帝面前，心裏堅固，成為聖潔，無可責備。
（西 1:9-12）	因此，我們自從聽見的日子，也就為你們不住地禱告祈求，願你們在一切屬靈的智慧悟性上，滿心知道上帝的旨意；好叫你們行事為人對得起主，凡事蒙他喜悅，在一切善事上結果子，漸漸地多知道上帝；照他榮耀的權能，得以在各樣的力上加力，好叫你們凡事歡歡喜喜地忍耐寬容；又感謝父，叫我們能與眾聖徒在光明中同得基業。
（帖前 5:23）	願賜平安的上帝親自使你們全然成聖！又願你們的靈與魂與身子得蒙保守，在我們主耶穌基督降臨的時候，完全無可指摘！
（詩 119:29）	求你使我離開奸詐的道， 開恩將你的律法賜給我！
（詩 139:23-24）	上帝啊，求你鑒察我，知道我的心思， 試煉我，知道我的意念，看在我裏面有甚麼惡行沒有， 引導我走永生的道路。
（詩 19:14）	耶和華－我的磐石，我的救贖主啊， 願我口中的言語、心裏的意念在你面前蒙悅納。
4.15.{5}	Faith Affirmations
（詩 101:3）	邪僻的事，我都不擺在我眼前； 悖逆人所做的事，我甚恨惡， 不容沾在我身上。
（詩 101:4）	彎曲的心思，我必遠離； 一切的惡人〔註：或譯：惡事〕，我不認識。
（詩 39:1）	我曾說：我要謹慎我的言行， 免得我舌頭犯罪； 惡人在我面前的時候， 我要用嚼環勒住我的口。
（詩 101:2）	我要用智慧行完全的道。 你幾時到我這裏來呢？ 我要存完全的心行在我家中。
（詩 119:11）	我將你的話藏在心裏， 免得我得罪你。
（詩 51:13）	我就把你的道指教有過犯的人， 罪人必歸順你。
4.16.{3}	Promises to Give His People Strength
（代下 16:9）	耶和華的眼目遍察全地，要顯大能幫助向他心存誠實的人。你這事行得愚昧；此後，你必有爭戰的事。」
（詩 55:22）	你要把你的重擔卸給耶和華， 他必撫養你； 他永不叫義人動搖。
（詩 68:35）	上帝啊，你從聖所顯為可畏； 以色列的上帝是那將力量權能賜給他百姓的。 上帝是應當稱頌的！
（詩 80:18）	這樣，我們便不退後離開你； 求你救活我們，我們就要求告你的名。
（詩 118:14）	耶和華是我的力量，是我的詩歌； 他也成了我的拯救。
（詩 138:3）	我呼求的日子，你就應允我， 鼓勵我，使我心裏有能力。
（賽 28:5-6）	到那日，萬軍之耶和華 必作他餘剩之民的榮冠華冕，也作了在位上行審判者公平之靈， 並城門口打退仇敵者的力量。
（耶 31:25）	疲乏的人，我使他飽飫；愁煩的人，我使他知足。」
（亞 4:6）	他對我說：「這是耶和華指示所羅巴伯的。萬軍之耶和華說：不是倚靠勢力，不是倚靠才能，乃是倚靠我的靈〔方能成事〕。
（亞 10:12）	我必使他們倚靠我，得以堅固； 一舉一動必奉我的名。 這是耶和華說的。
（羅 8:37）	然而，靠着愛我們的〔主〕，在這一切的事上已經得勝有餘了。
（羅 14:4）	你是誰，竟論斷別人的僕人呢？他或站住或跌倒，自有他的主人在；而且他也必要站住，因為主能使他站住。
（羅 16:25）	惟有上帝能照我所傳的福音和所講的耶穌基督，並照永古隱藏不言的奧祕，堅固你們的心。
（林後 4:7）	我們有這寶貝放在瓦器裏，要顯明這莫大的能力是出於上帝，不是出於我們。
（林後 12:9）	他對我說：「我的恩典夠你用的，因為我的能力是在人的軟弱上顯得完全。」所以，我更喜歡誇自己的軟弱，好叫基督的能力覆庇我。
（腓 2:12-13）	這樣看來，我親愛的〔弟兄〕，你們既是常順服的，不但我在你們那裏，就是我如今不在你們那裏，更是順服的，就當恐懼戰兢做成你們得救的工夫。因為你們立志行事都是上帝在你們心裏運行，為要成就他的美意。
（西 1:29）	我也為此勞苦，照着他在我裏面運用的大能盡心竭力。
（出 31:3）	我也以我的靈充滿了他，使他有智慧，有聰明，有知識，能做各樣的工，
（提後 4:17）	惟有主站在我旁邊，加給我力量，使福音被我盡都傳明，叫外邦人都聽見；我也從獅子口裏被救出來。
（猶 1:24）	那能保守你們不失腳、叫你們無瑕無疵、歡歡喜喜站在他榮耀之前的我們的救主－獨一的上帝，
（申 32:36）	耶和華見他百姓毫無能力， 無論困住的、自由的都沒有〔剩下〕， 就必為他們伸冤， 為他的僕人後悔。
（撒上 14:6）	約拿單對拿兵器的少年人說：「我們不如過到未受割禮人的防營那裏去，或者耶和華為我們施展能力；因為耶和華使人得勝，不在乎人多人少。」
（撒下 22:18-19）	他救我脫離我的勁敵和那些恨我的人， 因為他們比我強盛。我遭遇災難的日子，他們來攻擊我； 但耶和華是我的倚靠。
（詩 10:14）	〔其實〕你已經觀看； 因為奸惡毒害，你都看見了， 為要以手施行報應。 無倚無靠的人把〔自己〕交託你； 你向來是幫助孤兒的。
（詩 103:14）	因為他知道我們的本體， 思念我們不過是塵土。
（賽 40:28-31）	你豈不曾知道嗎？ 你豈不曾聽見嗎？ 永在的上帝耶和華，創造地極的〔主〕， 並不疲乏，也不困倦； 他的智慧無法測度。疲乏的，他賜能力； 軟弱的，他加力量。就是少年人也要疲乏困倦； 強壯的也必全然跌倒。但那等候耶和華的必重新得力。 他們必如鷹展翅上騰； 他們奔跑卻不困倦， 行走卻不疲乏。
（詩 111:6）	他向百姓顯出大能的作為， 把外邦的地賜給他們為業。
4.16.{4}	Prayers for Strength
（詩 61:1-2）	上帝啊，求你聽我的呼求， 側耳聽我的禱告！我心裏發昏的時候， 我要從地極求告你。 求你領我到那比我更高的磐石！
（詩 86:16）	求你向我轉臉，憐恤我， 將你的力量賜給僕人，救你婢女的兒子。
（詩 119:28）	我的心因愁苦而消化； 求你照你的話使我堅立！
（詩 51:12）	求你使我仍得救恩之樂， 賜我樂意的靈扶持我，
（詩 51:15）	主啊，求你使我嘴唇張開， 我的口便傳揚讚美你的話！
（詩 119:36-37）	求你使我的心趨向你的法度， 不趨向非義之財。求你叫我轉眼不看虛假， 又叫我在你的道中生活。
（徒 4:29-30）	〔29～30〕他們恐嚇我們，現在求主鑒察，一面叫你僕人大放膽量講你的道，一面伸出你的手來醫治疾病，並且使神蹟奇事因着你聖僕〔註：僕：或譯子〕耶穌的名行出來。」
4.16.{5}	Faith Affirmations
（詩 119:112）	我的心專向你的律例， 永遠遵行，一直到底。
（詩 73:25-26）	除你以外，在天上我有誰呢？ 除你以外，在地上我也沒有所愛慕的。我的肉體和我的心腸衰殘； 但上帝是我心裏的力量， 又是我的福分，直到永遠。
（林後 11:30）	我若必須自誇，就誇那關乎我軟弱的事便了。
（林後 12:10）	我為基督的緣故，就以軟弱、凌辱、急難、逼迫、困苦為可喜樂的；因我甚麼時候軟弱，甚麼時候就剛強了。
（腓 4:13）	我靠着那加給我力量的，凡事都能做。
（詩 59:16）	但我要歌頌你的力量， 早晨要高唱你的慈愛； 因為你作過我的高臺， 在我急難的日子作過我的避難所。
（詩 59:17）	我的力量啊，我要歌頌你； 因為上帝是我的高臺， 是賜恩與我的上帝。
4.17.{3}	Promises to Give Light in the Darkness
（伯 12:22）	他將深奧的事從黑暗中彰顯， 使死蔭顯為光明。
（詩 18:28）	你必點着我的燈； 耶和華－我的上帝必照明我的黑暗。
（詩 107:14）	他從黑暗中和死蔭裏領他們出來， 折斷他們的綁索。
（詩 112:4）	正直人在黑暗中，有光向他發現； 他有恩惠，有憐憫，有公義。
（賽 58:10）	你心若向飢餓的人發憐憫， 使困苦的人得滿足， 你的光就必在黑暗中發現； 你的幽暗必變如正午。
（路 1:78-79）	因我們上帝憐憫的心腸， 叫清晨的日光從高天臨到我們，要照亮坐在黑暗中死蔭裏的人， 把我們的腳引到平安的路上。
（約 12:46）	我到世上來，乃是光，叫凡信我的，不住在黑暗裏。
（伯 8:21）	他還要以喜笑充滿你的口， 以歡呼充滿你的嘴。
（伯 35:10）	卻無人說：造我的上帝在哪裏？ 他使人夜間歌唱，
（詩 16:10-11）	因為你必不將我的靈魂撇在陰間， 也不叫你的聖者見朽壞。你必將生命的道路指示我。 在你面前有滿足的喜樂； 在你右手中有永遠的福樂。
（詩 19:8）	耶和華的訓詞正直，能快活人的心； 耶和華的命令清潔，能明亮人的眼目。
（詩 30:5）	因為，他的怒氣不過是轉眼之間； 他的恩典乃是一生之久。 一宿雖然有哭泣， 早晨便必歡呼。
（詩 30:11）	你已將我的哀哭變為跳舞， 將我的麻衣脫去，給我披上喜樂，
（詩 40:3）	他使我口唱新歌， 就是讚美我們上帝的話。 許多人必看見而懼怕， 並要倚靠耶和華。
（詩 65:8）	住在地極的人因你的神蹟懼怕； 你使日出日落之地都歡呼。
（詩 97:11）	散布亮光是為義人； 預備喜樂是為正直人。
（賽 61:7）	你們〔必得〕加倍〔的好處〕，代替所受的羞辱； 分中所得的喜樂，必代替所受的凌辱。 在境內必得加倍〔的產業〕； 永遠之樂必歸與你們〔註：原文是他們〕。
（耶 31:12）	他們要來到錫安的高處歌唱， 又流歸耶和華施恩〔之地〕， 就是有五穀、新酒，和油， 並羊羔、牛犢〔之地〕。 他們的心必像澆灌的園子； 他們也不再有一點愁煩。
（耶 31:13-14）	那時，處女必歡樂跳舞； 年少的、年老的，也必一同歡樂； 因為我要使他們的悲哀變為歡喜， 並要安慰他們，使他們的愁煩轉為快樂。我必以肥油使祭司的心滿足； 我的百姓也要因我的恩惠知足。 這是耶和華說的。
（約 15:10-11）	你們若遵守我的命令，就常在我的愛裏，正如我遵守了我父的命令，常在他的愛裏。「這些事我已經對你們說了，是要叫我的喜樂存在你們心裏，並叫你們的喜樂可以滿足。
4.17.{4}	Prayers When in Darkness
（詩 13:3）	耶和華－我的上帝啊，求你看顧我，應允我！ 使我眼目光明，免得我沉睡至死；
（哈 1:2）	他說：耶和華啊！我呼求你， 你不應允，要到幾時呢？ 我因強暴哀求你，你還不拯救。
（詩 10:1）	耶和華啊，你為甚麼站在遠處？ 在患難的時候為甚麼隱藏？
