（赛 64:7）	并且无人求告你的名； 无人奋力抓住你。 原来你掩面不顾我们， 使我们因罪孽消化。
（约 20:22）	说了这话，就向他们吹一口气，说：「你们受圣灵！
（徒 1:8）	但圣灵降临在你们身上，你们就必得着能力，并要在耶路撒冷、犹太全地，和撒马利亚，直到地极，作我的见证。」
（罗 5:5）	盼望不至于羞耻，因为所赐给我们的圣灵将上帝的爱浇灌在我们心里。
（罗 7:6）	但我们既然在捆我们的律法上死了，现今就脱离了律法，叫我们服事〔主〕，要按着心灵〔注：心灵：或译圣灵〕的新样，不按着仪文的旧样。
（罗 8:13）	你们若顺从肉体活着，必要死；若靠着〔圣〕灵治死身体的恶行，必要活着。
（罗 8:14-15）	因为凡被上帝的灵引导的，都是上帝的儿子。你们所受的，不是奴仆的心，仍旧害怕；所受的，乃是儿子的心，因此我们呼叫：「阿爸！父！」
（加 4:6）	你们既为儿子，上帝就差他儿子的灵进入你们〔注：原文是我们〕的心，呼叫：「阿爸！父！」
（罗 8:16）	圣灵与我们的心同证我们是上帝的儿女；
（林前 2:9-10）	如〔经上〕所记： 上帝为爱他的人所预备的 是眼睛未曾看见， 耳朵未曾听见， 人心也未曾想到的。只有上帝藉着圣灵向我们显明了，因为圣灵参透万事，就是上帝深奥的事也参透了。
（林前 2:12）	我们所领受的，并不是世上的灵，乃是从上帝来的灵，叫我们能知道上帝开恩赐给我们的事。
（林前 12:11）	这一切都是这位〔圣〕灵所运行、随己意分给各人的。
（林后 3:6）	他叫我们能承当这新约的执事，不是凭着字句，乃是凭着精意；因为那字句是叫人死，精意〔注：或译：圣灵〕是叫人活。
（林后 3:17-18）	主就是那灵；主的灵在哪里，那里就得以自由。我们众人既然敞着脸得以看见主的荣光，好像从镜子里返照，就变成主的形状，荣上加荣，如同从主的灵变成的。
（加 5:16）	我说，你们当顺着〔圣〕灵而行，就不放纵肉体的情欲了。
（加 5:18）	但你们若被〔圣〕灵引导，就不在律法以下。
（加 5:22-23）	圣灵所结的果子，就是仁爱、喜乐、和平、忍耐、恩慈、良善、信实、温柔、节制。这样的事没有律法禁止。
（加 6:8）	顺着情欲撒种的，必从情欲收败坏；顺着〔圣〕灵撒种的，必从〔圣〕灵收永生。
（约一 2:20）	你们从那圣者受了〔恩〕膏，并且知道这一切的事〔注：或译：都有知识〕。
（约一 2:27）	你们从主所受的〔恩〕膏常存在你们心里，并不用人教训你们，自有主的〔恩〕膏在凡事上教训你们。这〔恩〕膏是真的，不是假的；你们要按这〔恩〕膏的教训住在主里面。
（结 37:9）	主对我说：「人子啊，你要发预言，向风发预言，说主耶和华如此说：气息啊，要从四方〔注：原文是风〕而来，吹在这些被杀的人身上，使他们活了。」
（但 9:17）	我们的上帝啊，现在求你垂听仆人的祈祷恳求，为自己使脸光照你荒凉的圣所。
（诗 60:1）	上帝啊，你丢弃了我们，使我们破败； 你向我们发怒，求你使我们复兴！
（诗 74:1-2）	上帝啊，你为何永远丢弃我们呢？ 你为何向你草场的羊发怒，如烟冒出呢？求你记念你古时所得来的会众， 就是你所赎、作你产业支派的， 并记念你向来所居住的锡安山。
（诗 80:4）	耶和华－万军之上帝啊， 你向你百姓的祷告发怒，要到几时呢？
（诗 80:7）	万军之上帝啊，求你使我们回转， 使你的脸发光，我们便要得救！
（诗 80:18）	这样，我们便不退后离开你； 求你救活我们，我们就要求告你的名。
（诗 85:4）	拯救我们的上帝啊，求你使我们回转， 叫你的恼恨向我们止息。
（耶 14:8-9）	以色列所盼望、在患难时作他救主的啊， 你为何在这地像寄居的， 又像行路的只住一宵呢？你为何像受惊的人， 像不能救人的勇士呢？ 耶和华啊，你仍在我们中间； 我们也称为你名下的人， 求你不要离开我们。
（哀 5:21）	耶和华啊，求你使我们向你回转， 我们便得回转。 求你复新我们的日子，像古时一样。
（耶 31:18）	我听见以法莲为自己悲叹说： 你责罚我，我便受责罚， 像不惯〔负轭〕的牛犊一样。 求你使我回转，我便回转， 因为你是耶和华－我的上帝。
（诗 68:28）	以色列的能力是上帝所赐的； 上帝啊，求你坚固你为我们所成全的事！
（诗 80:2）	在以法莲、便雅悯、玛拿西前面 施展你的大能，来救我们。
（诗 4:6）	有许多人说：谁能指示我们什么好处？ 耶和华啊，求你仰起脸来，光照我们。
（诗 67:1）	愿上帝怜悯我们，赐福与我们， 用脸光照我们，（细拉）
（哀 5:21）	耶和华啊，求你使我们向你回转， 我们便得回转。 求你复新我们的日子，像古时一样。
（诗 143:10）	求你指教我遵行你的旨意， 因你是我的上帝。 你的灵本为善； 求你引我到平坦之地。
（哈 3:2）	耶和华啊，我听见你的名声〔注：或译：言语〕就惧怕。 耶和华啊，求你在这些年间复兴你的作为， 在这些年间显明出来； 在发怒的时候以怜悯为念。
（罗 15:13）	但愿使人有盼望的上帝，因信将诸般的喜乐、平安充满你们的心，使你们藉着圣灵的能力大有盼望！
（诗 89:15）	知道〔向你〕欢呼的，那民是有福的！ 耶和华啊，他们在你脸上的光里行走。
（赛 26:12-13）	耶和华啊，你必派定我们得平安， 因为我们所做的事都是你给我们成就的。耶和华－我们的上帝啊， 在你以外曾有别的主管辖我们， 但我们专要倚靠你，提你的名。
（诗 104:30）	你发出你的灵，牠们便受造； 你使地面更换为新。
（腓 1:19）	因为我知道，这事藉着你们的祈祷和耶稣基督之灵的帮助，终必叫我得救。
（利 20:26）	你们要归我为圣，因为我－耶和华是圣的，并叫你们与万民有分别，使你们作我的民。
（利 26:11-12）	我要在你们中间立我的帐幕；我的心也不厌恶你们。我要在你们中间行走；我要作你们的上帝，你们要作我的子民。
（申 7:6）	因为你归耶和华－你上帝为圣洁的民；耶和华－你上帝从地上的万民中拣选你，特作自己的子民。
（撒上 12:22）	耶和华既喜悦选你们作他的子民，就必因他的大名不撇弃你们。
（代上 17:21-22）	世上有何民能比你的民以色列呢？你上帝从埃及救赎他们作自己的子民，又在你赎出来的民面前行大而可畏的事，驱逐列邦人，显出你的大名。你使以色列人作你的子民，直到永远；你－耶和华也作他们的上帝。
（民 18:20）	耶和华对亚伦说：「你在以色列人的境内不可有产业，在他们中间也不可有分。我就是你的分，是你的产业。」
（多 2:13-14）	等候所盼望的福，并等候至大的上帝和我们〔注：或译：上帝－我们〕救主耶稣基督的荣耀显现。他为我们舍了自己，要赎我们脱离一切罪恶，又洁净我们，特作自己的子民，热心为善。
（诗 5:2）	我的王我的上帝啊，求你垂听我呼求的声音！ 因为我向你祈祷。
（诗 22:1）	我的上帝，我的上帝！为什么离弃我？ 〔为什么〕远离不救我？不听我唉哼的言语？
（诗 71:12）	上帝啊，求你不要远离我！ 我的上帝啊，求你速速帮助我！
（诗 38:21）	耶和华啊，求你不要撇弃我！ 我的上帝啊，求你不要远离我！
（诗 22:10）	我自出母胎就被交在你手里； 从我母亲生我，你就是我的上帝。
（诗 25:2）	我的上帝啊，我素来倚靠你； 求你不要叫我羞愧， 不要叫我的仇敌向我夸胜。
（但 9:19）	求主垂听，求主赦免，求主应允而行，为你自己不要迟延。我的上帝啊，因这城和这民都是称为你名下的。」
（诗 119:94）	我是属你的，求你救我， 因我寻求了你的训词。
（撒下 22:3）	我的上帝，我的磐石，我所投靠的。 他是我的盾牌，是拯救我的角， 是我的高台，是我的避难所。 我的救主啊，你是救我脱离强暴的。
（诗 31:14）	耶和华啊，我仍旧倚靠你； 我说：你是我的上帝。
（诗 91:2）	我要论到耶和华说： 他是我的避难所，是我的山寨， 是我的上帝，是我所倚靠的。
（诗 106:47）	耶和华－我们的上帝啊，求你拯救我们， 从外邦中招聚我们， 我们好称赞你的圣名， 以赞美你为夸胜。
（出 33:13）	我如今若在你眼前蒙恩，求你将你的道指示我，使我可以认识你，好在你眼前蒙恩。求你想到这民是你的民。」
（出 33:16）	人在何事上得以知道我和你的百姓在你眼前蒙恩呢？岂不是因你与我们同去、使我和你的百姓与地上的万民有分别吗？」
（申 9:29）	其实他们是你的百姓，你的产业，是你用大能和伸出来的膀臂领出来的。』」
（申 26:15）	求你从天上、你的圣所垂看，赐福给你的百姓以色列与你所赐给我们的地，就是你向我们列祖起誓赐我们流奶与蜜之地。』」
（诗 85:6）	你不再将我们救活， 使你的百姓靠你欢喜吗？
（哈 1:12）	耶和华－我的上帝，我的圣者啊， 你不是从亘古而有吗？ 我们必不致死。 耶和华啊，你派定他为要刑罚人； 磐石啊，你设立他为要惩治人。
（撒上 2:2）	只有耶和华为圣； 除他以外没有可比的， 也没有磐石像我们的上帝。
（弥 7:7）	至于我，我要仰望耶和华， 要等候那救我的上帝； 我的上帝必应允我。
（诗 90:1）	主啊，你世世代代作我们的居所。
（诗 18:31）	除了耶和华，谁是上帝呢？ 除了我们的上帝，谁是磐石呢？
（诗 59:10）	我的上帝要以慈爱迎接我； 上帝要叫我看见我仇敌〔遭报〕。
（徒 27:23）	因我所属所事奉的上帝，他的使者昨夜站在我旁边，说：
（诗 132:3-5）	说：我必不进我的帐幕， 也不上我的床榻；我不容我的眼睛睡觉， 也不容我的眼目打盹；直等我为耶和华寻得所在， 为雅各的大能者寻得居所。
（诗 3:8）	救恩属乎耶和华； 愿你赐福给你的百姓。（细拉）
（诗 118:28）	你是我的上帝，我要称谢你！ 你是我的上帝，我要尊崇你！
（出 15:2）	耶和华是我的力量，我的诗歌， 也成了我的拯救。 这是我的上帝，我要赞美他， 是我父亲的上帝，我要尊崇他。
（诗 79:13）	这样，你的民，你草场的羊， 要称谢你，直到永远； 要述说赞美你的话，直到万代。
（创 39:2-3）	约瑟住在他主人埃及人的家中，耶和华与他同在，他就百事顺利。他主人见耶和华与他同在，又见耶和华使他手里所办的尽都顺利，
（创 39:21）	但耶和华与约瑟同在，向他施恩，使他在司狱的眼前蒙恩。
（创 39:23）	凡在约瑟手下的事，司狱一概不察，因为耶和华与约瑟同在；耶和华使他所做的尽都顺利。
（书 1:5）	你平生的日子，必无一人能在你面前站立得住。我怎样与摩西同在，也必照样与你同在；我必不撇下你，也不丢弃你。
（书 6:27）	耶和华与约书亚同在，约书亚的声名传扬遍地。
（士 6:12）	耶和华的使者向基甸显现，对他说：「大能的勇士啊，耶和华与你同在！」
（撒上 3:19）	撒母耳长大了，耶和华与他同在，使他所说的话一句都不落空。
（撒上 18:12）	扫罗惧怕大卫；因为耶和华离开自己，与大卫同在。
（撒下 7:3）	拿单对王说：「你可以照你的心意而行，因为耶和华与你同在。」
（王下 18:7）	耶和华与他同在，他无论往何处去尽都亨通。他背叛、不肯事奉亚述王。
（代上 11:9）	大卫日见强盛，因为万军之耶和华与他同在。
（王上 8:57-58）	愿耶和华－我们的上帝与我们同在，像与我们列祖同在一样，不撇下我们，不丢弃我们，使我们的心归向他，遵行他的道，谨守他吩咐我们列祖的诫命、律例、典章。
（代上 22:11）	我儿啊，现今愿耶和华与你同在，使你亨通，照他指着你说的话，建造耶和华－你上帝的殿。
（代上 28:20）	大卫又对他儿子所罗门说：「你当刚强壮胆去行！不要惧怕，也不要惊惶。因为耶和华上帝就是我的上帝，与你同在；他必不撇下你，也不丢弃你，直到耶和华殿的工作都完毕了。
（该 2:4）	耶和华说：「所罗巴伯啊，虽然如此，你当刚强！约撒答的儿子大祭司约书亚啊，你也当刚强！这地的百姓，你们都当刚强做工，因为我与你们同在。这是万军之耶和华说的。
（徒 7:9-10）	「先祖嫉妒约瑟，把他卖到埃及去；上帝却与他同在，救他脱离一切苦难，又使他在埃及王法老面前得恩典，有智慧。法老就派他作埃及国的宰相兼管全家。
（徒 10:38）	上帝怎样以圣灵和能力膏拿撒勒人耶稣，这都是你们知道的。他周流四方，行善事，医好凡被魔鬼压制的人，因为上帝与他同在。
（创 28:15）	我也与你同在。你无论往哪里去，我必保佑你，领你归回这地，总不离弃你，直到我成全了向你所应许的。」
（出 4:12）	现在去吧，我必赐你口才，指教你所当说的话。」
（书 1:9）	我岂没有吩咐你吗？你当刚强壮胆！不要惧怕，也不要惊惶；因为你无论往哪里去，耶和华－你的上帝必与你同在。」
（代下 15:2）	他出来迎接亚撒，对他说：「亚撒和犹大、便雅悯众人哪，要听我说：你们若顺从耶和华，耶和华必与你们同在；你们若寻求他，就必寻见；你们若离弃他，他必离弃你们。
（诗 14:5）	他们在那里大大地害怕， 因为上帝在义人的族类中。
（诗 46:7）	万军之耶和华与我们同在； 雅各的上帝是我们的避难所！（细拉）
（诗 91:1-2）	住在至高者隐密处的， 必住在全能者的荫下。我要论到耶和华说： 他是我的避难所，是我的山寨， 是我的上帝，是我所倚靠的。
（诗 139:8-10）	我若升到天上，你在那里； 我若在阴间下榻，你也在那里。我若展开清晨的翅膀， 〔飞〕到海极居住，就是在那里，你的手必引导我； 你的右手也必扶持我。
（赛 41:10）	你不要害怕，因为我与你同在； 不要惊惶，因为我是你的上帝。 我必坚固你，我必帮助你； 我必用我公义的右手扶持你。
（赛 43:2）	你从水中经过，我必与你同在； 你诜过江河，水必不漫过你； 你从火中行过，必不被烧， 火焰也不着在你身上。
（赛 43:4-7）	因我看你为宝为尊； 又因我爱你， 所以我使人代替你， 使列邦人替换你的生命。不要害怕，因我与你同在； 我必领你的后裔从东方来， 又从西方招聚你。我要对北方说，交出来！ 对南方说，不要拘留！ 将我的众子从远方带来， 将我的众女从地极领回，就是凡称为我名下的人， 是我为自己的荣耀创造的， 是我所做成，所造作的。
（耶 1:8）	你不要惧怕他们， 因为我与你同在， 要拯救你。 这是耶和华说的。
（耶 1:19）	他们要攻击你，却不能胜你；因为我与你同在，要拯救你。这是耶和华说的。」
（耶 42:11-12）	不要怕你们所怕的巴比伦王。』」耶和华说：「不要怕他！因为我与你们同在，要拯救你们脱离他的手。我也要使他发怜悯，好怜悯你们，叫你们归回本地。
（太 28:19-20）	所以，你们要去，使万民作我的门徒，奉父、子、圣灵的名给他们施洗〔注：或译：给他们施洗，归于父、子、圣灵的名〕。凡我所吩咐你们的，都教训他们遵守，我就常与你们同在，直到世界的末了。」
（徒 18:9-10）	夜间，主在异象中对保罗说：「不要怕，只管讲，不要闭口，有我与你同在，必没有人下手害你，因为在这城里我有许多的百姓。」
（腓 4:9）	你们在我身上所学习的，所领受的，所听见的，所看见的，这些事你们都要去行，赐平安的上帝就必与你们同在。
（出 33:16）	人在何事上得以知道我和你的百姓在你眼前蒙恩呢？岂不是因你与我们同去、使我和你的百姓与地上的万民有分别吗？」
（诗 118:25）	耶和华啊，求你拯救！ 耶和华啊，求你使我们亨通！
（出 33:15）	摩西说：「你若不亲自〔和我同〕去，就不要把我们从这里领上去。
（王上 8:57）	愿耶和华－我们的上帝与我们同在，像与我们列祖同在一样，不撇下我们，不丢弃我们，
（帖后 1:11-12）	因此，我们常为你们祷告，愿我们的上帝看你们配得过所蒙的召，又用大能成就你们一切所羨慕的良善和一切因信心所做的工夫，叫我们主耶稣的名在你们身上得荣耀，你们也在他身上得荣耀，都照着我们的上帝并主耶稣基督的恩。
（诗 61:4）	我要永远住在你的帐幕里！ 我要投靠在你翅膀下的隐密处！（细拉）
（诗 71:3）	求你作我常住的磐石； 你已经命定要救我， 因为你是我的巖石，我的山寨。
（撒下 14:17）	婢女又想，我主我王的话必安慰我；因为我主我王能辨别是非，如同上帝的使者一样。惟愿耶和华－你的上帝与你同在！」
（代上 4:10）	雅比斯求告以色列的上帝说：「甚愿你赐福与我，扩张我的境界，常与我同在，保佑我不遭患难，不受艰苦。」上帝就应允他所求的。
（罗 15:33）	愿赐平安的上帝常和你们众人同在。阿们！
（林后 13:14）	愿主耶稣基督的恩惠、上帝的慈爱、圣灵的感动〔常〕与你们众人同在！
（约二 1:3）	恩惠、怜悯、平安从父上帝和他儿子耶稣基督在真理和爱心上必常与我们同在！
（赛 8:10）	任凭你们同谋，终归无有； 任凭你们言定，终不成立； 因为上帝与我们同在。
（诗 139:18）	我若数点，比海沙更多； 我睡醒的时候，仍和你同在。
（代下 13:12）	率领我们的是上帝，我们这里也有上帝的祭司拿号向你们吹出大声。以色列人哪，不要与耶和华－你们列祖的上帝争战，因你们必不能亨通。」
（诗 73:23-26）	然而，我常与你同在； 你搀着我的右手。你要以你的训言引导我， 以后必接我到荣耀里。除你以外，在天上我有谁呢？ 除你以外，在地上我也没有所爱慕的。我的肉体和我的心肠衰残； 但上帝是我心里的力量， 又是我的福分，直到永远。
（诗 23:4）	我虽然行过死荫的〔幽〕谷， 也不怕遭害， 因为你与我同在； 你的杖，你的竿，都安慰我。
（诗 14:5）	他们在那里大大地害怕， 因为上帝在义人的族类中。
（启 21:3）	我听见有大声音从宝座出来说：「看哪，上帝的帐幕在人间。他要与人同住，他们要作他的子民。上帝要亲自与他们同在，作他们的上帝。
（出 29:46）	他们必知道我是耶和华－他们的上帝，是将他们从埃及地领出来的，为要住在他们中间。我是耶和华－他们的上帝。」
（出 33:14）	耶和华说：「我必亲自〔和你同〕去，使你得安息。」
（申 4:7）	哪一大国的人有神与他们相近，像耶和华－我们的上帝、在我们求告他的时候与我们相近呢？
（王上 6:13）	我必住在以色列人中间，并不丢弃我民以色列。」
（诗 91:1）	住在至高者隐密处的， 必住在全能者的荫下。
（赛 57:15）	因为那至高至上、永远长存〔注：原文是住在永远〕 名为圣者的如此说： 我住在至高至圣的所在， 也与心灵痛悔谦卑的人同居； 要使谦卑人的灵苏醒， 也使痛悔人的心苏醒。
（耶 30:21）	他们的君王必是属乎他们的； 掌权的必从他们中间而出。 我要使他就近我， 他也要亲近我； 不然，谁有胆量亲近我呢？ 这是耶和华说的。
（雅 4:8）	你们亲近上帝，上帝就必亲近你们。有罪的人哪，要洁净你们的手！心怀二意的人哪，要清洁你们的心！
（诗 22:1-2）	我的上帝，我的上帝！为什么离弃我？ 〔为什么〕远离不救我？不听我唉哼的言语？我的上帝啊，我白日呼求，你不应允， 夜间呼求，并不住声。
（诗 22:11）	求你不要远离我！ 因为急难临近了，没有人帮助我。
（诗 38:21）	耶和华啊，求你不要撇弃我！ 我的上帝啊，求你不要远离我！
（耶 14:9）	你为何像受惊的人， 像不能救人的勇士呢？ 耶和华啊，你仍在我们中间； 我们也称为你名下的人， 求你不要离开我们。
（诗 88:13-14）	耶和华啊，我呼求你； 我早晨的祷告要达到你面前。耶和华啊，你为何丢弃我？ 为何掩面不顾我？
（诗 73:28）	但我亲近上帝是与我有益； 我以主耶和华为我的避难所， 好叫我述说你一切的作为。
（诗 65:4）	你所拣选、使他亲近你、住在你院中的， 这人便为有福！ 我们必因你居所、你圣殿的美福知足了。
（诗 84:10）	在你的院宇住一日， 胜似〔在别处住〕千日； 宁可在我上帝殿中看门， 不愿住在恶人的帐棚里。
（诗 119:151）	耶和华啊，你与我相近； 你一切的命令尽都真实！
（诗 75:1）	上帝啊，我们称谢你，我们称谢你！ 因为你的名相近，人都述说你奇妙的作为。
（诗 73:23-24）	然而，我常与你同在； 你搀着我的右手。你要以你的训言引导我， 以后必接我到荣耀里。
（出 20:24）	你要为我筑土坛，在上面以牛羊献为燔祭和平安祭。凡记下我名的地方，我必到那里赐福给你。
（伯 8:7）	你起初虽然微小， 终久必甚发达。
（伯 23:10）	然而他知道我所行的路； 他试炼我之后，我必如精金。
（伯 36:7）	他时常看顾义人， 使他们和君王同坐宝座， 永远要被高举。
（诗 1:3）	他要像一棵树栽在溪水旁， 按时候结果子， 叶子也不枯干。 凡他所做的尽都顺利。
（诗 36:7-9）	上帝啊，你的慈爱何其宝贵！ 世人投靠在你翅膀的荫下。他们必因你殿里的肥甘得以饱足； 你也必叫他们喝你乐河的〔水〕。因为，在你那里有生命的源头； 在你的光中，我们必得见光。
（诗 37:34）	你当等候耶和华，遵守他的道， 他就抬举你，使你承受地土； 恶人被剪除的时候，你必看见。
（诗 71:21）	求你使我越发昌大， 又转来安慰我。
（诗 102:13）	你必起来怜恤锡安， 因现在是可怜她的时候， 日期已经到了。
（箴 4:18）	但义人的路好像黎明的光， 越照越明，直到日午。
（赛 51:16）	我将我的话传给你， 用我的手影遮蔽你， 为要栽定诸天，立定地基， 又对锡安说：你是我的百姓。
（赛 60:10）	外邦人必建筑你的城墙； 他们的王必服事你。 我曾发怒击打你， 现今却施恩怜恤你。
（赛 65:16）	这样，在地上为自己求福的， 必凭真实的上帝求福； 在地上起誓的， 必指真实的上帝起誓。 因为，从前的患难已经忘记， 也从我眼前隐藏了。
（赛 66:2）	耶和华说：这一切都是我手所造的， 所以就都有了。 但我所看顾的， 就是虚心〔注：原文是贫穷〕痛悔、 因我话而战兢的人。
（约 15:4-5）	你们要常在我里面，我也常在你们里面。枝子若不常在葡萄树上，自己就不能结果子；你们若不常在我里面，也是这样。我是葡萄树，你们是枝子。常在我里面的，我也常在他里面，这人就多结果子；因为离了我，你们就不能做什么。
（西 1:27）	上帝愿意叫他们知道，这奥祕在外邦人中有何等丰盛的荣耀，就是基督在你们心里成了〔有〕荣耀的盼望。
（诗 51:18）	求你随你的美意善待锡安， 建造耶路撒冷的城墙。
（代上 4:10）	雅比斯求告以色列的上帝说：「甚愿你赐福与我，扩张我的境界，常与我同在，保佑我不遭患难，不受艰苦。」上帝就应允他所求的。
（诗 125:4）	耶和华啊，求你善待那些为善 和心里正直的人。
（诗 86:17）	求你向我显出恩待我的凭据， 叫恨我的人看见便羞愧， 因为你－耶和华帮助我，安慰我。
（出 33:13）	我如今若在你眼前蒙恩，求你将你的道指示我，使我可以认识你，好在你眼前蒙恩。求你想到这民是你的民。」
（诗 90:17）	愿主－我们上帝的荣美归于我们身上。 愿你坚立我们手所做的工； 我们手所做的工，愿你坚立。
（徒 26:22）	然而我蒙上帝的帮助，直到今日还站得住，对着尊贵、卑贱、老幼作见证；所讲的并不外乎众先知和摩西所说将来必成的事，
（撒下 22:37）	你使我脚下的地步宽阔； 我的脚未曾滑跌。
（撒下 23:5）	我家在上帝面前并非如此； 上帝却与我立永远的约。 这约凡事坚稳， 关乎我的一切救恩和我一切所想望的， 他岂不为我成就吗？
（伯 29:5-6）	全能者仍与我同在； 我的儿女都环绕我。奶多可洗我的脚； 磐石为我出油成河。
（诗 16:6）	用绳量给我的地界，坐落在佳美之处； 我的产业实在美好。
（诗 5:12）	因为你必赐福与义人； 耶和华啊，你必用恩惠如同盾牌四面护卫他。
（诗 89:17）	你是他们力量的荣耀； 因为你喜悦我们，我们的角必被高举。
（利 26:13）	我是耶和华－你们的上帝，曾将你们从埃及地领出来，使你们不作埃及人的奴仆；我也折断你们所负的轭，叫你们挺身而走。」
（代下 30:9）	你们若转向耶和华，你们的弟兄和儿女必在掳掠他们的人面前蒙怜恤，得以归回这地，因为耶和华－你们的上帝有恩典、施怜悯。你们若转向他，他必不转脸不顾你们。」
（诗 18:16-18）	他从高天伸手抓住我， 把我从大水中拉上来。他救我脱离我的劲敌和那些恨我的人， 因为他们比我强盛。我遭遇灾难的日子，他们来攻击我； 但耶和华是我的倚靠。
（诗 31:21）	耶和华是应当称颂的， 因为他在坚固城里向我施展奇妙的慈爱。
（诗 69:33）	因为耶和华听了穷乏人， 不藐视被囚的人。
（赛 57:17-19）	因他贪婪的罪孽，我就发怒击打他； 我向他掩面发怒， 他却仍然随心背道。我看见他所行的道，也要医治他； 又要引导他， 使他和那一同伤心的人再得安慰。我造就嘴唇的果子； 愿平安康泰归与远处的人， 也归与近处的人； 并且我要医治他。 这是耶和华说的。
（耶 3:12）	你去向北方宣告说： 耶和华说：背道的以色列啊，回来吧！ 我必不怒目看你们； 因为我是慈爱的， 我必不永远存〔怒〕。 这是耶和华说的。
（耶 3:22）	你们这背道的儿女啊，回来吧！ 我要医治你们背道的病。 看哪，我们来到你这里， 因你是耶和华－我们的上帝。
（耶 31:9）	他们要哭泣而来。 我要照他们恳求的引导他们， 使他们在河水旁走正直的路， 在其上不致绊跌； 因为我是以色列的父， 以法莲是我的长子。
（结 16:59-60）	「主耶和华如此说：你这轻看誓言、背弃盟约的，我必照你所行的待你。然而我要追念在你幼年时与你所立的约，也要与你立定永约。
（结 37:23）	也不再因偶像和可憎的物，并一切的罪过玷污自己。我却要救他们出离一切的住处，就是他们犯罪的地方；我要洁净他们，如此，他们要作我的子民，我要作他们的上帝。
（何 14:4）	我必医治他们背道的病， 甘心爱他们； 因为我的怒气向他们转消。
（亚 10:6-7）	我要坚固犹大家，拯救约瑟家， 要领他们归回。 我要怜恤他们； 他们必像未曾弃绝的一样， 都因我是耶和华－他们的上帝， 我必应允他们〔的祷告〕。以法莲人必如勇士； 他们心中畅快如同喝酒； 他们的儿女必看见而快活； 他们的心必因耶和华喜乐。
（结 22:15）	我必将你分散在列国，四散在列邦。我也必从你中间除掉你的污秽。
（结 36:25-27）	我必用清水洒在你们身上，你们就洁净了。我要洁净你们，使你们脱离一切的污秽，弃掉一切的偶像。我也要赐给你们一个新心，将新灵放在你们里面，又从你们的肉体中除掉石心，赐给你们肉心。我必将我的灵放在你们里面，使你们顺从我的律例，谨守遵行我的典章。
（雅 5:19-20）	我的弟兄们，你们中间若有失迷真道的，有人使他回转，这人该知道：叫一个罪人从迷路上转回便是救一个灵魂不死，并且遮盖许多的罪。
（诗 86:11）	耶和华啊，求你将你的道指教我； 我要照你的真理行； 求你使我专心敬畏你的名！
（诗 119:132-133）	求你转向我，怜悯我， 好像你素常待那些爱你名的人。求你用你的话使我脚步稳当， 不许什么罪孽辖制我。
（诗 143:10）	求你指教我遵行你的旨意， 因你是我的上帝。 你的灵本为善； 求你引我到平坦之地。
（诗 51:10）	上帝啊，求你为我造清洁的心， 使我里面重新有正直〔注：或译：坚定〕的灵。
（太 8:2）	有一个长大痲疯的来拜他，说：「主若肯，必能叫我洁净了。」
（诗 141:3-4）	耶和华啊，求你禁止我的口， 把守我的嘴！求你不叫我的心偏向邪恶， 以致我和作孽的人同行恶事； 也不叫我吃他们的美食。
（诗 69:6）	万军的主－耶和华啊， 求你叫那等候你的，不要因我蒙羞！ 以色列的上帝啊， 求你叫那寻求你的，不要因我受辱！
（诗 119:17）	求你用厚恩待你的仆人，使我存活， 我就遵守你的话。
（诗 119:25）	我的性命几乎归于尘土； 求你照你的话将我救活！
（诗 119:33-34）	耶和华啊，求你将你的律例指教我， 我必遵守到底！求你赐我悟性，我便遵守你的律法， 且要一心遵守。
（诗 119:77）	愿你的慈悲临到我，使我存活， 因你的律法是我所喜爱的。
（约 17:11）	从今以后，我不在世上，他们却在世上；我往你那里去。圣父啊，求你因你所赐给我的名保守他们，叫他们合而为一像我们一样。
（约 17:13）	现在我往你那里去，我还在世上说这话，是叫他们心里充满我的喜乐。
（约 17:17）	求你用真理使他们成圣；你的道就是真理。
（约 17:20-21）	「我不但为这些人祈求，也为那些因他们的话信我的人祈求，使他们都合而为一。正如你父在我里面，我在你里面，使他们也在我们里面，叫世人可以信你差了我来。
（约 17:23）	我在他们里面，你在我里面，使他们完完全全地合而为一，叫世人知道你差了我来，也知道你爱他们如同爱我一样。
（腓 1:9-11）	我所祷告的，就是要你们的爱心在知识和各样见识上多而又多，使你们能分别是非〔注：或译：喜爱那美好的事〕，作诚实无过的人，直到基督的日子；并靠着耶稣基督结满了仁义的果子，叫荣耀称赞归与上帝。
（帖前 3:11-13）	愿上帝－我们的父和我们的主耶稣一直引领我们到你们那里去。又愿主叫你们彼此相爱的心，并爱众人的心都能增长，充足，如同我们爱你们一样，好使你们当我们主耶稣同他众圣徒来的时候，在我们父上帝面前，心里坚固，成为圣洁，无可责备。
（西 1:9-12）	因此，我们自从听见的日子，也就为你们不住地祷告祈求，愿你们在一切属灵的智慧悟性上，满心知道上帝的旨意；好叫你们行事为人对得起主，凡事蒙他喜悦，在一切善事上结果子，渐渐地多知道上帝；照他荣耀的权能，得以在各样的力上加力，好叫你们凡事欢欢喜喜地忍耐宽容；又感谢父，叫我们能与众圣徒在光明中同得基业。
（帖前 5:23）	愿赐平安的上帝亲自使你们全然成圣！又愿你们的灵与魂与身子得蒙保守，在我们主耶稣基督降临的时候，完全无可指摘！
